parent_id,kode_bps,nama_bps,kode_dagri,nama_dagri,kode_pos
35,3527,"KAB. SAMPANG",35.27,"KABUPATEN SAMPANG","69200"
35,3528,"KAB. PAMEKASAN",35.28,"KABUPATEN PAMEKASAN","69300"
35,3529,"KAB. SUMENEP",35.29,"KABUPATEN SUMENEP","69400"
35,3571,"KOTA KEDIRI",35.71,"KOTA KEDIRI","64100"
35,3572,"KOTA BLITAR",35.72,"KOTA BLITAR","66100"
35,3573,"KOTA MALANG",35.73,"KOTA MALANG","65100"
35,3574,"KOTA PROBOLINGGO",35.74,"KOTA PROBOLINGGO","67200"
35,3575,"KOTA PASURUAN",35.75,"KOTA PASURUAN","67100"
35,3576,"KOTA MOJOKERTO",35.76,"KOTA MOJOKERTO","61300"
35,3577,"KOTA MADIUN",35.77,"KOTA MADIUN","63100"
35,3578,"KOTA SURABAYA",35.78,"KOTA SURABAYA","60100;60200"
35,3579,"KOTA BATU",35.79,"KOTA BATU","65300"
36,3601,"KAB. PANDEGLANG",36.01,"KABUPATEN PANDEGLANG","42200"
36,3602,"KAB. LEBAK",36.02,"KABUPATEN LEBAK","42300"
36,3603,"KAB. TANGERANG",36.03,"KABUPATEN TANGERANG","15200;15500;15600;15700;15800;15900"
36,3604,"KAB. SERANG",36.04,"KABUPATEN SERANG","42100"
36,3671,"KOTA TANGERANG",36.71,"KOTA TANGERANG","15100"
36,3672,"KOTA CILEGON",36.72,"KOTA CILEGON","42400"
36,3673,"KOTA SERANG",36.73,"KOTA SERANG","42100"
36,3674,"KOTA TANGERANG SELATAN",36.74,"KOTA TANGERANG SELATAN","15300;15400"
51,5101,"KAB. JEMBRANA",51.01,"KABUPATEN JEMBRANA","82200"
51,5102,"KAB. TABANAN",51.02,"KABUPATEN TABANAN","82100"
51,5103,"KAB. BADUNG",51.03,"KABUPATEN BADUNG","80300"
51,5104,"KAB. GIANYAR",51.04,"KABUPATEN GIANYAR","80500"
51,5105,"KAB. KLUNGKUNG",51.05,"KABUPATEN KLUNGKUNG","80700"
51,5106,"KAB. BANGLI",51.06,"KABUPATEN BANGLI","80600"
51,5107,"KAB. KARANGASEM",51.07,"KABUPATEN KARANGASEM","80800"
51,5108,"KAB. BULELENG",51.08,"KABUPATEN BULELENG","81100"
51,5171,"KOTA DENPASAR",51.71,"KOTA DENPASAR","80100;80200"
52,5201,"KAB. LOMBOK BARAT",52.01,"KABUPATEN LOMBOK BARAT","83300"
52,5202,"KAB. LOMBOK TENGAH",52.02,"KABUPATEN LOMBOK TENGAH","83500"
52,5203,"KAB. LOMBOK TIMUR",52.03,"KABUPATEN LOMBOK TIMUR","83600"
52,5204,"KAB. SUMBAWA",52.04,"KABUPATEN SUMBAWA","84300"
52,5205,"KAB. DOMPU",52.05,"KABUPATEN DOMPU","84200"
52,5206,"KAB. BIMA",52.06,"KABUPATEN BIMA","84100"
52,5207,"KAB. SUMBAWA BARAT",52.07,"KABUPATEN SUMBAWA BARAT","84400"
52,5208,"KAB. LOMBOK UTARA",52.08,"KABUPATEN LOMBOK UTARA","83700"
52,5271,"KOTA MATARAM",52.71,"KOTA MATARAM","83100;83200"
52,5272,"KOTA BIMA",52.72,"KOTA BIMA","84100"
53,5301,"KAB. SUMBA BARAT",53.12,"KABUPATEN SUMBA BARAT","87200"
53,5302,"KAB. SUMBA TIMUR",53.11,"KABUPATEN SUMBA TIMUR","87100"
53,5303,"KAB. KUPANG",53.01,"KABUPATEN KUPANG","85300"
53,5304,"KAB TIMOR TENGAH SELATAN",53.02,"KAB TIMOR TENGAH SELATAN","85500"
53,5305,"KAB. TIMOR TENGAH UTARA",53.03,"KABUPATEN TIMOR TENGAH UTARA","85600"
53,5306,"KAB. BELU",53.04,"KABUPATEN BELU","85700"
53,5307,"KAB. ALOR",53.05,"KABUPATEN ALOR","85800"
53,5308,"KAB. LEMBATA",53.13,"KABUPATEN LEMBATA","86600"
53,5309,"KAB. FLORES TIMUR",53.06,"KABUPATEN FLORES TIMUR","86200"
53,5310,"KAB. SIKKA",53.07,"KABUPATEN SIKKA","86100"
53,5311,"KAB. ENDE",53.08,"KABUPATEN ENDE","86300"
53,5312,"KAB. NGADA",53.09,"KABUPATEN NGADA","86400"
53,5313,"KAB. MANGGARAI",53.10,"KABUPATEN MANGGARAI","86500"
53,5314,"KAB. ROTE NDAO",53.14,"KABUPATEN ROTE NDAO","85900"
53,5315,"KAB. MANGGARAI BARAT",53.15,"KABUPATEN MANGGARAI BARAT","86700"
53,5316,"KAB. SUMBA TENGAH",53.17,"KABUPATEN SUMBA TENGAH","87300"
53,5317,"KAB. SUMBA BARAT DAYA",53.18,"KABUPATEN SUMBA BARAT DAYA","87400"
53,5318,"KAB. NAGEKEO",53.16,"KABUPATEN NAGEKEO","86900"
53,5319,"KAB. MANGGARAI TIMUR",53.19,"KABUPATEN MANGGARAI TIMUR","86800"
53,5320,"KAB. SABU RAIJUA",53.20,"KABUPATEN SABU RAIJUA","85300"
53,5321,"KAB. MALAKA",53.21,"KABUPATEN MALAKA","85700"
53,5371,"KOTA KUPANG",53.71,"KOTA KUPANG","85100;85200"
61,6101,"KAB. SAMBAS",61.01,"KABUPATEN SAMBAS","79400"
61,6102,"KAB. BENGKAYANG",61.07,"KABUPATEN BENGKAYANG","79200"
61,6103,"KAB. LANDAK",61.08,"KABUPATEN LANDAK","78300"
61,6104,"KAB. MEMPAWAH",61.02,"KABUPATEN MEMPAWAH","78900"
61,6105,"KAB. SANGGAU",61.03,"KABUPATEN SANGGAU","78500"
61,6106,"KAB. KETAPANG",61.04,"KABUPATEN KETAPANG","78800"
61,6107,"KAB. SINTANG",61.05,"KABUPATEN SINTANG","78600"
61,6108,"KAB. KAPUAS HULU",61.06,"KABUPATEN KAPUAS HULU","78700"
61,6109,"KAB. SEKADAU",61.09,"KABUPATEN SEKADAU","79500"
61,6110,"KAB. MELAWI",61.10,"KABUPATEN MELAWI","78600"
61,6111,"KAB. KAYONG UTARA",61.11,"KABUPATEN KAYONG UTARA","78800"
61,6112,"KAB. KUBU RAYA",61.12,"KABUPATEN KUBU RAYA","78300"
61,6171,"KOTA PONTIANAK",61.71,"KOTA PONTIANAK","78100;78200"
61,6172,"KOTA SINGKAWANG",61.72,"KOTA SINGKAWANG","79100"
62,6201,"KAB. KOTAWARINGIN BARAT",62.01,"KABUPATEN KOTAWARINGIN BARAT","74100"
62,6202,"KAB. KOTAWARINGIN TIMUR",62.02,"KABUPATEN KOTAWARINGIN TIMUR","74300"
62,6203,"KAB. KAPUAS",62.03,"KABUPATEN KAPUAS","73500"
62,6204,"KAB. BARITO SELATAN",62.04,"KABUPATEN BARITO SELATAN","73700"
62,6205,"KAB. BARITO UTARA",62.05,"KABUPATEN BARITO UTARA","73800"
62,6206,"KAB. SUKAMARA",62.08,"KABUPATEN SUKAMARA","74400;74700"
62,6207,"KAB. LAMANDAU",62.09,"KABUPATEN LAMANDAU","74600"
62,6208,"KAB. SERUYAN",62.07,"KABUPATEN SERUYAN","74200"
62,6209,"KAB. KATINGAN",62.06,"KABUPATEN KATINGAN","74400"
62,6210,"KAB. PULANG PISAU",62.11,"KABUPATEN PULANG PISAU","74800"
62,6211,"KAB. GUNUNG MAS",62.10,"KABUPATEN GUNUNG MAS","74500"
62,6212,"KAB. BARITO TIMUR",62.13,"KABUPATEN BARITO TIMUR","73600"
62,6213,"KAB. MURUNG RAYA",62.12,"KABUPATEN MURUNG RAYA","73900"
62,6271,"KOTA PALANGKARAYA",62.71,"KOTA PALANGKARAYA","73100;73200"
63,6301,"KAB. TANAH LAUT",63.01,"KABUPATEN TANAH LAUT","70800"
63,6302,"KAB. KOTABARU",63.02,"KABUPATEN KOTABARU","72100"
63,6303,"KAB. BANJAR",63.03,"KABUPATEN BANJAR","70600"
63,6304,"KAB. BARITO KUALA",63.04,"KABUPATEN BARITO KUALA","70500"
63,6305,"KAB. TAPIN",63.05,"KABUPATEN TAPIN","71100"
63,6306,"KAB. HULU SUNGAI SELATAN",63.06,"KABUPATEN HULU SUNGAI SELATAN","71200"
63,6307,"KAB. HULU SUNGAI TENGAH",63.07,"KABUPATEN HULU SUNGAI TENGAH","71300"
63,6308,"KAB. HULU SUNGAI UTARA",63.08,"KABUPATEN HULU SUNGAI UTARA","71400"
63,6309,"KAB. TABALONG",63.09,"KABUPATEN TABALONG","71500"
63,6310,"KAB. TANAH BUMBU",63.10,"KABUPATEN TANAH BUMBU","72200"
63,6311,"KAB. BALANGAN",63.11,"KABUPATEN BALANGAN","71600"
63,6371,"KOTA BANJARMASIN",63.71,"KOTA BANJARMASIN","70100;70200"
63,6372,"KOTA BANJARBARU",63.72,"KOTA BANJARBARU","70700"
64,6401,"KAB. PASER",64.01,"KABUPATEN PASER","76200"
64,6402,"KAB. KUTAI BARAT",64.07,"KABUPATEN KUTAI BARAT","75700"
64,6403,"KAB. KUTAI KARTANEGARA",64.02,"KABUPATEN KUTAI KARTANEGARA","75500"
64,6404,"KAB. KUTAI TIMUR",64.08,"KABUPATEN KUTAI TIMUR","75600"
64,6405,"KAB. BERAU",64.03,"KABUPATEN BERAU","77300"
64,6409,"KAB. PENAJAM PASER UTARA",64.09,"KABUPATEN PENAJAM PASER UTARA","76300"
64,6411,"KAB. MAHAKAM ULU",64.11,"KABUPATEN MAHAKAM ULU","75800"
64,6471,"KOTA BALIKPAPAN",64.71,"KOTA BALIKPAPAN","76100"
64,6472,"KOTA SAMARINDA",64.72,"KOTA SAMARINDA","75100;75200"
64,6474,"KOTA BONTANG",64.74,"KOTA BONTANG","75300"
65,6501,"KAB. MALINAU",65.02,"KABUPATEN MALINAU","77500"
65,6502,"KAB. BULUNGAN",65.01,"KABUPATEN BULUNGAN","77200"
65,6503,"KAB. TANA TIDUNG",65.04,"KABUPATEN TANA TIDUNG","77600"
65,6504,"KAB. NUNUKAN",65.03,"KABUPATEN NUNUKAN","77400"
65,6571,"KOTA TARAKAN",65.71,"KOTA TARAKAN","77100"
71,7101,"KAB. BOLAANG MONGONDOW",71.01,"KABUPATEN BOLAANG MONGONDOW","95700"
71,7102,"KAB. MINAHASA",71.02,"KABUPATEN MINAHASA","95600"
71,7103,"KAB. KEPULAUAN SANGIHE",71.03,"KABUPATEN KEPULAUAN SANGIHE","95800"
71,7104,"KAB. KEPULAUAN TALAUD",71.04,"KABUPATEN KEPULAUAN TALAUD","95800"
71,7105,"KAB. MINAHASA SELATAN",71.05,"KABUPATEN MINAHASA SELATAN","95900"
71,7106,"KAB. MINAHASA UTARA",71.06,"KABUPATEN MINAHASA UTARA","95300"
71,7107,"KAB. BOLAANG MONGONDOW UTARA",71.08,"KABUPATEN BOLAANG MONGONDOW UTARA","95700"
71,7108,"KAB. KEP. SIAU TAGULANDANG BIARO",71.09,"KABUPATEN KEP. SIAU TAGULANDANG BIARO","95800"
71,7109,"KAB. MINAHASA TENGGARA",71.07,"KABUPATEN MINAHASA TENGGARA","95900"
71,7110,"KAB. BOLAANG MONGONDOW SELATAN",71.11,"KABUPATEN BOLAANG MONGONDOW SELATAN","95700"
71,7111,"KAB. BOLAANG MONGONDOW TIMUR",71.10,"KABUPATEN BOLAANG MONGONDOW TIMUR","95700"
71,7171,"KOTA MANADO",71.71,"KOTA MANADO","95100;95200"
71,7172,"KOTA BITUNG",71.72,"KOTA BITUNG","95500"
71,7173,"KOTA TOMOHON",71.73,"KOTA TOMOHON","95400"
71,7174,"KOTA KOTAMOBAGU",71.74,"KOTA KOTAMOBAGU","95700"
72,7201,"KAB. BANGGAI KEPULAUAN",72.07,"KABUPATEN BANGGAI KEPULAUAN","94800"
72,7202,"KAB. BANGGAI",72.01,"KABUPATEN BANGGAI","94700"
72,7203,"KAB. MOROWALI",72.06,"KABUPATEN MOROWALI","94900"
72,7204,"KAB. POSO",72.02,"KABUPATEN POSO","94600"
72,7205,"KAB. DONGGALA",72.03,"KABUPATEN DONGGALA","94300"
72,7206,"KAB. TOLI TOLI",72.04,"KABUPATEN TOLI-TOLI","94500"
72,7207,"KAB. BUOL",72.05,"KABUPATEN BUOL","94500"
72,7208,"KAB. PARIGI MOUTONG",72.08,"KABUPATEN PARIGI MOUTONG","94400"
72,7209,"KAB. TOJO UNA UNA",72.09,"KABUPATEN TOJO UNA UNA","94600"
72,7210,"KAB. SIGI",72.10,"KABUPATEN SIGI","94300"
72,7211,"KAB. BANGGAI LAUT",72.11,"KABUPATEN BANGGAI LAUT","94800"
72,7212,"KAB. MOROWALI UTARA",72.12,"KABUPATEN MOROWALI UTARA","94900"
72,7271,"KOTA PALU",72.71,"KOTA PALU","94100;94200"
73,7301,"KAB. KEPULAUAN SELAYAR",73.01,"KABUPATEN KEPULAUAN SELAYAR","92800"
73,7302,"KAB. BULUKUMBA",73.02,"KABUPATEN BULUKUMBA","92500"
73,7303,"KAB. BANTAENG",73.03,"KABUPATEN BANTAENG","92400"
73,7304,"KAB. JENEPONTO",73.04,"KABUPATEN JENEPONTO","92300"
73,7305,"KAB. TAKALAR",73.05,"KABUPATEN TAKALAR","92200"
73,7306,"KAB. GOWA",73.06,"KABUPATEN GOWA","92100"
73,7307,"KAB. SINJAI",73.07,"KABUPATEN SINJAI","92600"
73,7308,"KAB. MAROS",73.09,"KABUPATEN MAROS","90500"
73,7309,"KAB. PANGKAJENE DAN KEPULAUAN",73.10,"KABUPATEN PANGKAJENE DAN KEPULAUAN","90600"
73,7310,"KAB. BARRU",73.11,"KABUPATEN BARRU","90700"
73,7311,"KAB. BONE",73.08,"KABUPATEN BONE","92700"
73,7312,"KAB. SOPPENG",73.12,"KABUPATEN SOPPENG","90800"
73,7313,"KAB. WAJO",73.13,"KABUPATEN WAJO","90900"
73,7314,"KAB. SIDENRENG RAPPANG",73.14,"KABUPATEN SIDENRENG RAPPANG","91600"
73,7315,"KAB. PINRANG",73.15,"KABUPATEN PINRANG","91200"
73,7316,"KAB. ENREKANG",73.16,"KABUPATEN ENREKANG","91700"
73,7317,"KAB. LUWU",73.17,"KABUPATEN LUWU","91900"
73,7318,"KAB. TANA TORAJA",73.18,"KABUPATEN TANA TORAJA","91800"
73,7322,"KAB. LUWU UTARA",73.22,"KABUPATEN LUWU UTARA","92900"
73,7325,"KAB. LUWU TIMUR",73.24,"KABUPATEN LUWU TIMUR","92900"
73,7326,"KAB. TORAJA UTARA",73.26,"KABUPATEN TORAJA UTARA","91800"
73,7371,"KOTA MAKASSAR",73.71,"KOTA MAKASSAR","90100;90200"
73,7372,"KOTA PAREPARE",73.72,"KOTA PAREPARE","91100"
73,7373,"KOTA PALOPO",73.73,"KOTA PALOPO","91900"
74,7401,"KAB. BUTON",74.04,"KABUPATEN BUTON","93700"
74,7402,"KAB. MUNA",74.03,"KABUPATEN MUNA","93600"
74,7403,"KAB. KONAWE",74.02,"KABUPATEN KONAWE","93400"
74,7404,"KAB. KOLAKA",74.01,"KABUPATEN KOLAKA","93500"
74,7405,"KAB. KONAWE SELATAN",74.05,"KABUPATEN KONAWE SELATAN","93800"
74,7406,"KAB. BOMBANA",74.06,"KABUPATEN BOMBANA","93700"
74,7407,"KAB. WAKATOBI",74.07,"KABUPATEN WAKATOBI","93700"
74,7408,"KAB. KOLAKA UTARA",74.08,"KABUPATEN KOLAKA UTARA","93900"
74,7409,"KAB. BUTON UTARA",74.10,"KABUPATEN BUTON UTARA","93700"
74,7410,"KAB. KONAWE UTARA",74.09,"KABUPATEN KONAWE UTARA","93300"
74,7411,"KAB. KOLAKA TIMUR",74.11,"KABUPATEN KOLAKA TIMUR","93500"
74,7412,"KAB. KONAWE KEPULAUAN",74.12,"KABUPATEN KONAWE KEPULAUAN","93400"
74,7413,"KAB. MUNA BARAT",74.13,"KABUPATEN MUNA BARAT",
74,7414,"KAB. BUTON TENGAH",74.14,"KABUPATEN BUTON TENGAH","93700"
74,7415,"KAB. BUTON SELATAN",74.15,"KABUPATEN BUTON SELATAN","93700"
74,7471,"KOTA KENDARI",74.71,"KOTA KENDARI","93100;93200"
74,7472,"KOTA BAU BAU",74.72,"KOTA BAU BAU","93700"
75,7501,"KAB. BOALEMO",75.02,"KABUPATEN BOALEMO","96300"
75,7502,"KAB. GORONTALO",75.01,"KABUPATEN GORONTALO","96200"
75,7503,"KAB. POHUWATO",75.04,"KABUPATEN POHUWATO","96400"
75,7504,"KAB. BONE BOLANGO",75.03,"KABUPATEN BONE BOLANGO","96500"
75,7505,"KAB. GORONTALO UTARA",75.05,"KABUPATEN GORONTALO UTARA","96600"
75,7571,"KOTA GORONTALO",75.71,"KOTA GORONTALO","96100"
76,7601,"KAB. MAJENE",76.05,"KABUPATEN MAJENE","91400"
76,7602,"KAB. POLEWALI MANDAR",76.04,"KABUPATEN POLEWALI MANDAR","91300"
76,7603,"KAB. MAMASA",76.03,"KABUPATEN MAMASA","91300"
76,7604,"KAB. MAMUJU",76.02,"KABUPATEN MAMUJU","91500"
76,7605,"KAB. PASANGKAYU",76.01,"KABUPATEN PASANGKAYU","91500"
76,7606,"KAB. MAMUJU TENGAH",76.06,"KABUPATEN MAMUJU TENGAH","91500"
81,8101,"KAB. KEPULAUAN TANIMBAR",81.03,"KABUPATEN KEPULAUAN TANIMBAR","97400"
81,8102,"KAB. MALUKU TENGGARA",81.02,"KABUPATEN MALUKU TENGGARA","97600"
81,8103,"KAB. MALUKU TENGAH",81.01,"KABUPATEN MALUKU TENGAH","97500"
81,8104,"KAB. BURU",81.04,"KABUPATEN BURU","97300"
81,8105,"KAB. KEPULAUAN ARU",81.07,"KABUPATEN KEPULAUAN ARU","97600"
81,8106,"KAB. SERAM BAGIAN BARAT",81.06,"KABUPATEN SERAM BAGIAN BARAT","97500"
81,8107,"KAB. SERAM BAGIAN TIMUR",81.05,"KABUPATEN SERAM BAGIAN TIMUR","97500"
81,8108,"KAB. MALUKU BARAT DAYA",81.08,"KABUPATEN MALUKU BARAT DAYA","97400"
81,8109,"KAB. BURU SELATAN",81.09,"KABUPATEN BURU SELATAN","97300"
81,8171,"KOTA AMBON",81.71,"KOTA AMBON","97100;97200"
81,8172,"KOTA TUAL",81.72,"KOTA TUAL","97600"
82,8201,"KAB. HALMAHERA BARAT",82.01,"KABUPATEN HALMAHERA BARAT","97700"
82,8202,"KAB. HALMAHERA TENGAH",82.02,"KABUPATEN HALMAHERA TENGAH","97800"
82,8203,"KAB. KEPULAUAN SULA",82.05,"KABUPATEN KEPULAUAN SULA","97900"
82,8204,"KAB. HALMAHERA SELATAN",82.04,"KABUPATEN HALMAHERA SELATAN","97900"
82,8205,"KAB. HALMAHERA UTARA",82.03,"KABUPATEN HALMAHERA UTARA","97700"
82,8206,"KAB. HALMAHERA TIMUR",82.06,"KABUPATEN HALMAHERA TIMUR","97800"
82,8207,"KAB. PULAU MOROTAI",82.07,"KABUPATEN PULAU MOROTAI","97700"
82,8208,"KAB. PULAU TALIABU",82.08,"KABUPATEN PULAU TALIABU",
82,8271,"KOTA TERNATE",82.71,"KOTA TERNATE","97700"
82,8272,"KOTA TIDORE KEPULAUAN",82.72,"KOTA TIDORE KEPULAUAN","97800"
91,9101,"KAB. FAK FAK",92.03,"KABUPATEN FAK FAK","98600"
91,9102,"KAB. KAIMANA",92.08,"KABUPATEN KAIMANA","98600"
91,9103,"KAB. TELUK WONDAMA",92.07,"KABUPATEN TELUK WONDAMA","98500"
91,9104,"KAB. TELUK BINTUNI",92.06,"KABUPATEN TELUK BINTUNI","98500"
91,9105,"KAB. MANOKWARI",92.02,"KABUPATEN MANOKWARI","98300"
91,9111,"KAB. MANOKWARI SELATAN",92.11,"KABUPATEN MANOKWARI SELATAN","98300"
91,9112,"KAB. PEGUNUNGAN ARFAK",92.12,"KABUPATEN PEGUNUNGAN ARFAK","98300"
92,9201,"KAB. RAJA AMPAT",96.03,"KABUPATEN RAJA AMPAT",
92,9202,"KAB. SORONG",96.01,"KABUPATEN SORONG",
92,9203,"KAB. SORONG SELATAN",96.02,"KABUPATEN SORONG SELATAN",
92,9204,"KAB. MAYBRAT",96.05,"KABUPATEN MAYBRAT",
92,9205,"KAB. TAMBRAUW",96.04,"KABUPATEN TAMBRAUW",
92,9271,"KOTA SORONG",96.71,"KOTA SORONG",
94,9403,"KAB. JAYAPURA",91.03,"KABUPATEN JAYAPURA","99300"
94,9408,"KAB. KEPULAUAN YAPEN",91.05,"KABUPATEN KEPULAUAN YAPEN","98200"
94,9409,"KAB. BIAK NUMFOR",91.06,"KABUPATEN BIAK NUMFOR","98100"
94,9419,"KAB. SARMI",91.10,"KABUPATEN SARMI","99300"
94,9420,"KAB. KEEROM",91.11,"KABUPATEN KEEROM","99400"
94,9426,"KAB. WAROPEN",91.15,"KABUPATEN WAROPEN","98200"
94,9427,"KAB. SUPIORI",91.19,"KABUPATEN SUPIORI","98100"
94,9428,"KAB. MAMBERAMO RAYA",91.20,"KABUPATEN MAMBERAMO RAYA","99300"
94,9471,"KOTA JAYAPURA",91.71,"KOTA JAYAPURA","99100"
95,9501,"KAB. MERAUKE",93.01,"KABUPATEN MERAUKE",
95,9502,"KAB. BOVEN DIGOEL",93.02,"KABUPATEN BOVEN DIGOEL",
95,9503,"KAB. MAPPI",93.03,"KABUPATEN MAPPI",
95,9504,"KAB. ASMAT",93.04,"KABUPATEN ASMAT",
96,9601,"KAB. MIMIKA",94.04,"KABUPATEN MIMIKA",
96,9602,"KAB. DOGIYAI",94.06,"KABUPATEN DOGIYAI",
96,9603,"KAB. DEIYAI",94.08,"KABUPATEN DEIYAI",
96,9604,"KAB. NABIRE",94.01,"KABUPATEN NABIRE",
96,9605,"KAB. PANIAI",94.03,"KABUPATEN PANIAI",
96,9606,"KAB. INTAN JAYA",94.07,"KABUPATEN INTAN JAYA",
96,9607,"KAB. PUNCAK",94.05,"KABUPATEN PUNCAK",
96,9608,"KAB. PUNCAK JAYA",94.02,"KABUPATEN PUNCAK JAYA",
97,9701,"KAB. NDUGA",95.08,"KABUPATEN NDUGA",
97,9702,"KAB. JAYAWIJAYA",95.01,"KABUPATEN JAYAWIJAYA",
97,9703,"KAB. LANNY JAYA",95.07,"KABUPATEN LANNY JAYA",
97,9704,"KAB. TOLIKARA",95.04,"KABUPATEN TOLIKARA",
97,9705,"KAB. MAMBERAMO TENGAH",95.05,"KABUPATEN MAMBERAMO TENGAH",
97,9706,"KAB. YALIMO",95.06,"KABUPATEN YALIMO",
97,9707,"KAB. YAHUKIMO",95.03,"KABUPATEN YAHUKIMO",
97,9708,"KAB. PEGUNUNGAN BINTANG",95.02,"KAB PEGUNUNGAN BINTANG",